,AGE,Bill_Sep,Bill_Aug,Bill_Jul,Bill_Jun,Bill_May,Bill_Apr,Pay_Sep,Pay_Aug,Pay_Jul,Pay_Jun,Pay_May,Pay_Apr
0,24,157.0,124.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
1,26,107.0,69.0,107.0,131.0,138.0,130.0,0.0,40.0,40.0,40.0,0.0,80.0
2,34,1170.0,561.0,542.0,573.0,598.0,622.0,61.0,60.0,40.0,40.0,40.0,200.0
3,37,1880.0,1929.0,1972.0,1133.0,1158.0,1182.0,80.0,81.0,48.0,44.0,43.0,40.0
4,57,345.0,227.0,1433.0,838.0,766.0,765.0,80.0,1467.0,400.0,360.0,28.0,27.0
5,37,2576.0,2283.0,2304.0,776.0,785.0,801.0,100.0,73.0,26.0,40.0,40.0,32.0
6,29,14719.0,16481.0,17800.0,21706.0,19320.0,18958.0,2200.0,1600.0,1520.0,810.0,550.0,551.0
7,23,475.0,15.0,24.0,9.0,-6.0,23.0,15.0,24.0,0.0,23.0,67.0,62.0
8,28,451.0,564.0,484.0,488.0,472.0,149.0,133.0,0.0,17.0,40.0,40.0,40.0
9,35,0.0,0.0,0.0,0.0,520.0,556.0,0.0,0.0,0.0,520.0,45.0,0.0
10,34,443.0,391.0,221.0,101.0,73.0,149.0,92.0,0.0,2.0,12.0,150.0,3.0
11,51,490.0,867.0,399.0,341.0,891.0,547.0,873.0,399.0,343.0,892.0,0.0,146.0
12,41,485.0,260.0,260.0,260.0,260.0,115.0,40.0,260.0,260.0,260.0,115.0,0.0
13,30,2632.0,2695.0,2628.0,2671.0,1445.0,1476.0,128.0,0.0,120.0,120.0,60.0,0.0
14,29,2835.0,2682.0,2542.0,2388.0,2275.0,2220.0,120.0,120.0,120.0,120.0,120.0,120.0
15,23,2025.0,1167.0,1125.0,1151.0,1181.0,1208.0,0.0,60.0,44.0,48.0,52.0,44.0
16,24,615.0,720.0,697.0,734.0,716.0,764.0,128.0,0.0,60.0,0.0,66.0,0.0
17,49,10131.0,9861.0,7787.0,2803.0,234.0,7824.0,414.0,400.0,3038.0,800.0,7824.0,2000.0
18,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,39,1534.0,1108.0,980.0,825.0,472.0,37.0,120.0,61.0,40.0,80.0,37.0,1351.0
21,39,13.0,13.0,13.0,0.0,25.0,13.0,13.0,13.0,0.0,25.0,13.0,0.0
22,26,1643.0,1698.0,1801.0,1760.0,1876.0,1840.0,80.0,143.0,0.0,144.0,0.0,73.0
23,40,220.0,777.0,59.0,22.0,0.0,0.0,777.0,59.0,22.0,0.0,0.0,45.0
24,23,190.0,283.0,0.0,216.0,254.0,332.0,230.0,0.0,216.0,48.0,82.0,80.0
25,23,1905.0,1672.0,1441.0,1159.0,1193.0,1202.0,79.0,57.0,40.0,57.0,42.0,40.0
26,27,-4.0,-17.0,10.0,-2.0,5.0,-8.0,0.0,40.0,0.0,20.0,0.0,40.0
27,30,902.0,646.0,687.0,715.0,757.0,785.0,52.0,52.0,40.0,60.0,40.0,40.0
28,47,26.0,137.0,137.0,82.0,1217.0,10.0,137.0,137.0,82.0,1217.0,10.0,0.0
29,26,613.0,663.0,700.0,716.0,735.0,456.0,60.0,60.0,40.0,40.0,64.0,0.0
30,27,666.0,691.0,531.0,614.0,572.0,1477.0,691.0,531.0,614.0,572.0,1492.0,0.0
31,33,1221.0,1185.0,884.0,909.0,929.0,947.0,69.0,60.0,40.0,40.0,40.0,29.0
32,32,3721.0,3363.0,3315.0,3238.0,3148.0,3024.0,121.0,140.0,132.0,128.0,128.0,100.0
33,54,437.0,166.0,909.0,301.0,2858.0,359.0,166.0,913.0,301.0,2858.0,39.0,2063.0
34,58,548.0,200.0,1245.0,127.0,0.0,212.0,200.0,1247.0,127.0,0.0,212.0,31.0
