,ESA_NAME,Male,Female,months
0,Eastern Adelaide SA,759,574.0,JUL
1,Northern Adelaide SA,3056,2321.0,JUL
2,Southern Adelaide SA,1700,1390.0,JUL
3,Western Adelaide SA,1395,1032.0,JUL
4,Gold Coast QLD,3686,2901.0,JUL
5,Ipswich QLD,1907,1497.0,JUL
6,Logan QLD,3124,2429.0,JUL
7,North Brisbane QLD,2793,1987.0,JUL
8,Outer North Brisbane,2160,1728.0,JUL
9,South Brisbane QLD,3701,2644.0,JUL
10,Sunshine Coast QLD,2033,1564.0,JUL
11,Bundaberg QLD,998,741.0,JUL
12,CairnsQLD,2312,1709.0,JUL
13,Capricornia QLD,1185,890.0,JUL
14,Far North QLD,765,580.0,JUL
15,Gladstone QLD,462,341.0,JUL
16,Mackay QLD,834,710.0,JUL
17,Mt Isa QLD,542,369.0,JUL
18,Townsville QLD,1929,1485.0,JUL
19,East Gippsland VIC,433,366.0,JUL
20,Goulburn Valley VIC,858,708.0,JUL
21,Kiewa VIC,697,597.0,JUL
22,Latrobe Valley VIC,1060,945.0,JUL
23,Ovens VIC,600,480.0,JUL
24,Goldfields/Esperance,516,399.0,JUL
25,Kimberley WA,885,687.0,JUL
26,Mid West/Gascoyne,515,417.0,JUL
27,Midlands/Wheatbelt,256,167.0,JUL
28,Pilbara WA,390,328.0,JUL
29,Southern WA,1108,844.0,JUL
30,Central Coast NSW,2288,1877.0,JUL
31,Hunter NSW,899,751.0,JUL
32,Keepit NSW,742,559.0,JUL
33,Lower Hunter NSW,2693,2142.0,JUL
34,Manning NSW,719,589.0,JUL
35,Upper Hunter NSW,267,241.0,JUL
36,Bayside VIC,3098,2274.0,JUL
37,Calder VIC,2390,2134.0,JUL
38,Maroondah VIC,1367,1244.0,JUL
39,Monash VIC,1277,1294.0,JUL
40,Peninsula VIC,1315,1244.0,JUL
41,Plenty VIC,1979,1622.0,JUL
42,Westgate VIC,3651,2899.0,JUL
43,Yarra VIC,838,702.0,JUL
44,Clarence NSW,461,339.0,JUL
45,Coffs Harbour NSW,1005,754.0,JUL
46,Hastings NSW,539,369.0,JUL
47,Macleay NSW,341,239.0,JUL
48,New England NSW,672,453.0,JUL
49,North Coast NSW,540,421.0,JUL
50,Richmond NSW,732,531.0,JUL
51,Tweed NSW,719,503.0,JUL
52,Alice Springs NT,814,583.0,JUL
53,Darwin NT,594,483.0,JUL
54,Katherine NT,507,378.0,JUL
55,Tennant Creek NT,280,160.0,JUL
56,Top End NT,961,708.0,JUL
57,Central/West Metro,1708,1324.0,JUL
58,Dale WA,451,391.0,JUL
59,East Metro WA,1958,1519.0,JUL
60,North Metro WA,3083,2469.0,JUL
61,Adelaide Hills SA,228,142.0,JUL
62,Fleurieu/Kangaroo Is,172,133.0,JUL
63,Gawler SA,374,315.0,JUL
64,Kadina/Clare SA,252,198.0,JUL
65,Murraylands SA,243,221.0,JUL
66,North Country SA,650,466.0,JUL
67,Port Lincoln/Ceduna,285,235.0,JUL
68,Port Pirie SA,234,142.0,JUL
69,Riverland SA,339,193.0,JUL
70,South East SA,315,255.0,JUL
71,ACT/Queanbeyan NSW,1150,895.0,JUL
72,Eurobodalla NSW,280,210.0,JUL
73,Lower South Coast,294,230.0,JUL
74,Murray Darling NSW,59,40.0,JUL
75,Shoalhaven NSW,872,592.0,JUL
76,South Eastern NSW,703,568.0,JUL
77,Southern Ranges NSW,499,410.0,JUL
78,Sturt NSW,389,334.0,JUL
79,Fraser Coast QLD,1049,722.0,JUL
80,Gympie QLD,788,544.0,JUL
81,Toowoomba QLD,1048,835.0,JUL
82,Warwick QLD,377,306.0,JUL
83,Western Downs QLD,295,238.0,JUL
84,Canterbury/Bankstown,1589,1246.0,JUL
85,Central West Sydney,2248,1599.0,JUL
86,Eastern Suburbs NSW,652,498.0,JUL
87,Fairfield NSW,1342,948.0,JUL
88,Inner Sydney NSW,1203,979.0,JUL
89,Inner Western Sydney,420,290.0,JUL
90,Liverpool NSW,1190,921.0,JUL
91,Macarthur NSW,1586,1331.0,JUL
92,Nepean NSW,1820,1514.0,JUL
93,Northern Sydney NSW,871,588.0,JUL
94,Outer Western Sydney,2085,1725.0,JUL
95,St George-Sutherland,1172,957.0,JUL
96,Wollongong NSW,1844,1345.0,JUL
97,Hobart TAS,1872,1309.0,JUL
98,Launceston TAS,972,747.0,JUL
99,West and North West,822,646.0,JUL
100,Chifley NSW,307,242.0,JUL
101,Far West NSW,293,195.0,JUL
102,Gwydir Namoi NSW,412,294.0,JUL
103,Lachlan NSW,309,216.0,JUL
104,Orana NSW,687,481.0,JUL
105,Oxley NSW,132,106.0,JUL
106,Patterson NSW,631,472.0,JUL
107,Windamere NSW,317,247.0,JUL
108,Bendigo VIC,1078,916.0,JUL
109,Eureka VIC,937,801.0,JUL
110,Geelong VIC,1315,1154.0,JUL
111,Grampians VIC,273,226.0,JUL
112,Hampden VIC,437,371.0,JUL
113,Mid Murray VIC,300,246.0,JUL
114,Sunraysia VIC,488,416.0,JUL
115,Western District VIC,202,182.0,JUL
0,Eastern Adelaide SA,745,546.0,AUG
1,Northern Adelaide SA,2954,2258.0,AUG
2,Southern Adelaide SA,1692,1374.0,AUG
3,Western Adelaide SA,1391,1019.0,AUG
4,Gold Coast QLD,3573,2841.0,AUG
5,Ipswich QLD,1873,1449.0,AUG
6,Logan QLD,3056,,AUG
7,North Brisbane QLD,2709,1966.0,AUG
8,Outer North Brisbane,2193,1699.0,AUG
9,South Brisbane QLD,3593,2573.0,AUG
10,Sunshine Coast QLD,1982,1488.0,AUG
11,Bundaberg QLD,977,718.0,AUG
12,CairnsQLD,2197,1674.0,AUG
13,Capricornia QLD,1156,889.0,AUG
14,Far North QLD,771,574.0,AUG
15,Gladstone QLD,448,325.0,AUG
16,Mackay QLD,809,668.0,AUG
17,Mt Isa QLD,536,373.0,AUG
18,Townsville QLD,1919,1449.0,AUG
19,East Gippsland VIC,425,356.0,AUG
20,Goulburn Valley VIC,863,677.0,AUG
21,Kiewa VIC,696,597.0,AUG
22,Latrobe Valley VIC,1053,932.0,AUG
23,Ovens VIC,567,504.0,AUG
24,Goldfields/Esperance,487,392.0,AUG
25,Kimberley WA,886,691.0,AUG
26,Mid West/Gascoyne,526,399.0,AUG
27,Midlands/Wheatbelt,239,166.0,AUG
28,Pilbara WA,377,317.0,AUG
29,Southern WA,1104,815.0,AUG
30,Central Coast NSW,2200,1831.0,AUG
31,Hunter NSW,846,757.0,AUG
32,Keepit NSW,739,565.0,AUG
33,Lower Hunter NSW,2589,2057.0,AUG
34,Manning NSW,712,570.0,AUG
35,Upper Hunter NSW,262,222.0,AUG
36,Bayside VIC,3013,2194.0,AUG
37,Calder VIC,2349,2106.0,AUG
38,Maroondah VIC,1322,1221.0,AUG
39,Monash VIC,1227,1272.0,AUG
40,Peninsula VIC,1277,1155.0,AUG
41,Plenty VIC,1941,1571.0,AUG
42,Westgate VIC,3514,2835.0,AUG
43,Yarra VIC,837,686.0,AUG
44,Clarence NSW,478,343.0,AUG
45,Coffs Harbour NSW,990,716.0,AUG
46,Hastings NSW,536,353.0,AUG
47,Macleay NSW,350,233.0,AUG
48,New England NSW,651,434.0,AUG
49,North Coast NSW,518,416.0,AUG
50,Richmond NSW,704,508.0,AUG
51,Tweed NSW,711,490.0,AUG
52,Alice Springs NT,810,588.0,AUG
53,Darwin NT,575,474.0,AUG
54,Katherine NT,500,372.0,AUG
55,Tennant Creek NT,271,156.0,AUG
56,Top End NT,957,693.0,AUG
57,Central/West Metro,1658,1278.0,AUG
58,Dale WA,460,403.0,AUG
59,East Metro WA,1884,1498.0,AUG
60,North Metro WA,2999,2421.0,AUG
61,Adelaide Hills SA,227,135.0,AUG
62,Fleurieu/Kangaroo Is,170,131.0,AUG
63,Gawler SA,358,302.0,AUG
64,Kadina/Clare SA,252,194.0,AUG
65,Murraylands SA,237,215.0,AUG
66,North Country SA,635,456.0,AUG
67,Port Lincoln/Ceduna,276,212.0,AUG
68,Port Pirie SA,246,142.0,AUG
69,Riverland SA,338,197.0,AUG
70,South East SA,318,258.0,AUG
71,ACT/Queanbeyan NSW,1105,834.0,AUG
72,Eurobodalla NSW,284,214.0,AUG
73,Lower South Coast,293,227.0,AUG
74,Murray Darling NSW,62,34.0,AUG
75,Shoalhaven NSW,864,603.0,AUG
76,South Eastern NSW,675,542.0,AUG
77,Southern Ranges NSW,478,418.0,AUG
78,Sturt NSW,383,325.0,AUG
79,Fraser Coast QLD,1023,733.0,AUG
80,Gympie QLD,747,526.0,AUG
81,Toowoomba QLD,986,815.0,AUG
82,Warwick QLD,384,313.0,AUG
83,Western Downs QLD,303,231.0,AUG
84,Canterbury/Bankstown,1548,1164.0,AUG
85,Central West Sydney,2183,1534.0,AUG
86,Eastern Suburbs NSW,627,455.0,AUG
87,Fairfield NSW,1302,934.0,AUG
88,Inner Sydney NSW,1160,951.0,AUG
89,Inner Western Sydney,412,279.0,AUG
90,Liverpool NSW,1161,909.0,AUG
91,Macarthur NSW,1536,1274.0,AUG
92,Nepean NSW,1763,1517.0,AUG
93,Northern Sydney NSW,850,537.0,AUG
94,Outer Western Sydney,2017,1613.0,AUG
95,St George-Sutherland,1159,914.0,AUG
96,Wollongong NSW,1803,1282.0,AUG
97,Hobart TAS,1852,1298.0,AUG
